Turkish,English
kiminle,with who
tavsiye,recommendation
çalışıyordum,I was working
rachel,Rachel
alalım,let's get
farkındayım,I am aware
canını,your life
itibaren,from
hayalet,ghost
sıradaki,next
pazar,Sunday
hayatımda,in my life
doğu,East
yaptığımız,what we do
yaparken,while doing
değilmiş,it wasn't
çıplak,naked
der,says
walter,walter
mücadele,struggle
görüşmek,to meet 
kör,blind
kardeşi,brother
üzüldüm,I am sad
yapamazsın,you can't
şimdiden,already
oynamak,play
kitabı,book
idare,administration
cesur,brave
dönüyor,is turning
silahını,your gun
buradayız,we are here
İnanılmaz,Unbelievable
bunca,so much
bebeği,her baby
veremem,I can't give
enerji,energy
top,ball
bağlantı,connection
savunma,defense
hangisi,Which one
hissettim,I felt
anlaşılan,apparently
andy,andy
ihanet,betrayal
sayılır,sort of
sinir,border
yasal,legal
yapılan,made
merkezi,central
yapıp,do
çalıştı,worked
hatırladın,you remembered
umut,hope
suçu,crime
edilmiş,has been
söylemiş,said
biriydi,was one
okulda,at school
gördü,saw
neymiş,what is it
unuttum,I forgot
jerry,Jerry
şeylerin,of things
görüyorsun,you see
sağlık,health
annemi,my mother
ün,reputation
bırakmak,to leave
sizce,do you think
barış,peace
cuma,Friday
girecek,will enter
yapmamı,me to do
eee,eh
uzay,space
yaparsın,you do
ödeme,payment
yıllık,annual
edeceksin,you will
topu,ball
san,singing
açıkçası,frankly
kar,profit
olacaktı,would be
vermeye,to give
filan,so and so
aşağıya,down
şeydi,was something
söylediği,what he said
ettiler,they did
kırıklığına,disappointed
numarası,number
istemiştim,I wanted
bilirim,i know
sistemi,system
scott,Scott
claire,Claire
yapacağını,what you will do
doğruyu,the truth
emir,order
alakası,relevance
nihayet,finally
kazanmak,to win
iz,trace
onca,so many
los,loess
vereyim,let me give
demiştin,you said
mahkeme,court
nasıi,how
konuşmam,I don't talk
gözden,out of sight
uyuyor,sleeping
düşman,enemy
olmaktan,from being
yapıyorlar,they are doing
konuşuyorsun,you are talking
bulunan,found
düşündün,you thought
çıkarın,remove
yıllardır,for years
eline,to your hand
göremiyorum,I can't see
İçinde,Inside
İngiltere,England
hayatının,of your life
baskı,oppression
akıl,mind
şirket,company 
hepimizin,of all of us
sus,shush
kızla,with the girl
gerekirdi,should have
çalıştığını,that you are working
sonuç,conclusion
bizde,we have
çıkın,quit
sanat,art
söyleyebilirim,I can say
söylemedi,didn't say
içeride,inside
nazik,kind
parası,money
başlangıç,beginning
binbaşı,major
kurşun,lead
baktım,I looked
öldüğünü,that you died
nedenle,for this reason
yarar,benefit
doğrusu,actually
prenses,princess
batı,West
arabada,in the car
otel,hotel
boşa,in vain
kalıyor,stays
boktan,shitty
tavuk,chicken
jason,Jason
vermeyeceğim,I will not give
parlak,shiny
lisa,lisa
banka,bank
hay,oops
peşinden,after
sevdiğini,that you love
duygusal,emotional
karışık,mixed
vermiş,gave
alma,taking
vahşi,wild
konuşmamız,our conversation
insanı,human
yüzde,percentage
di,di
bulmuş,found
çirkin,ugly
bulundu,found
fransız,French
kyle,Kyle
pete,pete
çıkış,exit
kilo,kilo
dokunma,touch
sakıncası,do you mind
dahi,genius
söylediğin,what you said
yangın,fire
yolculuk,journey
dönerim,I will return
etrafında,around
tanışmak,to meet
sosyal,social
luke,Luke
ameliyat,operation
çıkarmak,subtract
geçirdim,I spent
ilişki,relationship
girin,enter
işimiz,our job
şeylere,to things
kredi,credit
çıkacak,will come out
kamera,camera
olduğumuz,we are
olsaydım,if i were
üstelik,besides
İç,Drink
çalışmaya,to work
bulacağım,I will find
şansımız,our chance
thomas,thomas
istiyordum,I wanted
birisin,you are someone
gönderdi,sent
unuttun,you forgot
elektrik,electric
başarısız,unsuccessful
tv,TV
and,oath
ni,ni
eğitim,education
öğleden,afternoon
onda,tenth
yüzüne,to your face
madam,madam
acayip,strange
kalma,stay
İkiniz,you two
ulusal,national
gösteri,show
şehirde,in the city
söylesene,tell me
İnan,Believe
değişti,changed
zamanımız,our time
tespit,detection
fransa,France
yukarıda,above
sevimli,pleasant
duruma,to the situation
varken,while there is
şansın,your luck
bunda,in this
aniden,suddenly
olmanın,being
şehri,city
getirmek,to bring
param,my money
ortasında,in the middle
geçirmek,spend
degil,not
gene,again
inşa,construction
yalancı,liar
tanık,witness
emri,order
kadınla,with woman
emily,Emily
koruma,protection
cesaret,bravery
attı,threw
öldür,kill
cumartesi,Saturday
gecesi,on the night
alice,alice
mutlaka,definitely
televizyon,television
saç,hair
olmanı,to be
clark,clark
genel,general
varım,I'm in
söylediğini,what you said
angeles,angeles
dediğini,what you said
yaparız,we do
öldürüldü,was killed
şirketi,company
fikri,idea
çekip,pull away
kalır,remains
kokuyor,smells
söyleyebilir,can say
şerefe,Cheers
ailen,your family
intihar,suicide
getirdin,you brought
arthur,Arthur
eli,hand
gecenin,of the night
öldürecek,will kill
edici,disturbing
düşük,low
diyorlar,they say
ted,Ted
aşkım,My love
ihtiyacınız,you need
inanıyor,believes
ed,ed
evime,to my house
gerçi,though
tadını,enjoy
almam,I don't take
teknik,technical
kimdi,who was it
olmalıyım,I must be
gitmeye,to go
aramaya,to search
korku,fear
bakar,looks
iyisin,you are fine
söyleyemem,I can't say
emma,emma
yerel,local
görevi,task
buranın,here
gitmemiz,we go
takımı,team
kendinizi,yourself
hatam,my mistake
ettiğin,what you did
beyefendi,gentlemen
kullan,use
tecavüz,rape
bilirsiniz,you know
nedenini,why
yapılmış,made
şeyle,with something
etmesi,to do
tehlikeye,in danger
dave,dave
carter,carter
ım,um
cesedi,corpse
günlük,daily
olunca,when
düşünmek,to think
larry,Larry
kalacağım,I will stay
örnek,example
yoğun,busy
matt,Matt
bakıyorsun,you are looking
zamanın,of time
simon,Simon
oluyorum,I am becoming
annie,Annie
futbol,football
ülke,country
dediğin,what you said
tren,train
arayacağım,I will call
çiçek,flower
düşünüyorsunuz,you think
roma,Rome
çocuklara,to children
yolun,your way
planı,plan
pişman,regret
gideyim,let me go
tarih,history
başlar,begins
yerin,your place
ediyordum,I was doing
kahvaltı,breakfast
eh,eh
bulacağız,we will find
kaldın,you stayed
kadına,to the woman
umurunda,you care
yapmayın,don't do
konuşuruz,we talk
tarihi,date
um,um
sonrasında,after
avrupa,Europe
utanç,shame
arabanın,of your car
hakkındaki,about
zorla,hardly
bilen,knowing
partisi,party
ceza,punishment
etmeliyiz,we must
eğlence,entertainment
yatağa,to bed
inanmıyorum,I don't believe
kayboldu,disappeared
sevgi,love
çekmek,to pull
demedim,I didn't say
başını,your head
gelirim,I will come
şehrin,of the city
tepki,reaction
yaptınız,you did
ölecek,will die
durma,stop
tanesi,grain
geliyorlar,they are coming
taksi,taxi
nerden,From where
öldüreceğim,I will kill
chuck,chuck
bizler,we are
müsaade,permit
boyu,height
ucuz,cheap
oy,vote
gidebilir,can go
vermem,I don't give
anahtarı,switch
ihtimalle,probably
washington,washington
gören,seeing
araç,vehicle
edersen,if you do
pes,give up
koç,ram
endişe,anxiety
it,dog
etmelisin,you should
derler,they say
oluruz,we become
gitmiyor,not going
rol,role
içindeki,in
açıkça,clearly
hissediyorsun,you feel
karşılık,opposite
ordu,army
İşler,Works
etkileyici,influential
ekibi,team
servis,service
önümüzdeki,next
olabilirdi,could have been
muyuz,Are we
sürer,lasts
öyledir,it is
kraliçe,queen
yılda,per year
düşünmüyorum,I don't think
mıydın,were you
havalı,airy
paraya,to money
devlet,state
tanımıyorum,I don't recognise
yat,sleep
sordum,I asked
hayata,to life
kullanmak,to use
lucy,Lucy
dev,giant
ekip,team
william,william
sendin,it was you
elbise,dress
yirmi,twenty
dersiniz,you say
hiçbiri,none
heyecan,excitement
pahalı,expensive
İmdat,Help
getireyim,let me bring
İstersen,If you want
sean,Sean
emredersiniz,you order
sefere,next time
büyü,spell
bil,know
fikrini,your opinion
yaşıyorum,I'm alive
kullanıyor,is using
tim,team
lar,s
etmiyorum,I don't
sürtük,slut
huzur,peace
sokak,street
öncelikle,firstly
yakaladım,I caught
usta,expert
üstü,above
eşlik,accompaniment
verdik,we gave
aksi,opposite
kimsiniz,Who are you
derecede,degree
gaz,gas
şeylerden,from things
keresinde,once
denen,called
yapmalıyız,we must do
giderim,i go
genellikle,Generally
verebilir,can give
üyesi,member
ailenin,family
çalışıyordu,was working
insanlarla,with people
isterseniz,if you want
alakalı,relevant
görünce,when you see
silahlı,armed
kaba,rude
giderken,while going
yapılacak,to be done
olmasa,if not
gizlice,secretly
dert,trouble
gördüğün,what you see
hastanede,in the hospital
saati,time
profesyonel,professional
ilgi,interest
yardımı,help
bakıyor,looking
kendisine,to himself
lord,lord
vurdu,hit
karşılığında,in return
denedim,I tried
bulup,find and find
şansım,my luck
anahtar,key
iddia,claim
halt,heck
ödünç,on loan
okuldan,from school
aklına,to your mind
dediğimi,what i said
derdi,he used to say
to,to
sezon,season
meselesi,matter
yapması,to do
şişe,bottle
romantik,romantic
kıçını,your ass
sağlıklı,healthy
adalet,justice
ödül,prize
çocuğum,my child
dahaki,next
maria,Mary
düşündüğüm,what i think
efendi,master
çocuğa,to the child
kaldık,we stayed
c,c
telefonda,on the phone
istemez,does not want
ölümü,death
götürün,take it away
onur,honour
fahişe,whore
girerim,I enter
geliyorsun,you are coming
eksik,missing
çocukken,as a child
aşağılık,vile
verdiğin,you gave
bari,at least
günlerde,in the days
veda,farewell
gözüküyor,it seems
şuradaki,over there
arabası,trolley
güzelmiş,it's nice
joey,joey
işimi,my job
ayakta,on foot
öldüren,killer
görebiliyorum,I can see
kağıt,paper
adamsın,you are the man
mısır,sweetcorn
leo,Leo
buyur,be my guest
bileyim,let me know
yahudi,Jewish
ü,u
anneme,to my mother
şüphe,suspicion
etmeliyim,I must
yasak,Forbidden
istemezsin,you don't want
içmek,to drink
harikaydı,it was great
izlemek,to watch
benimki,mine
öğrenci,student
fiziksel,physically
atmak,to throw
saf,pure
diş,external
jeff,jeff
yahu,duh
neresi,where  
kalıp,pattern
gerçekte,actually
sorabilir,can ask
yapabileceğim,i can do
söyleyen,saying
öyleydi,it was
bekliyorsun,you are waiting
tanıdığım,i know
olmuştur,has been
carl,carl
bıçak,knife
olağanüstü,extraordinary
İşi,Heat
süt,milk
riske,risk
kendinden,from himself
babasının,his father's
kelly,kelly
çıkma,emergence
birinde,in one
ediyordu,was doing
okudum,I read
kartı,card
rus,Russian
gelmişti,had come
annemle,with my mother
iletişim,communication
bildiğin,you know
ayı,bear
hakkı,right
seyahat,trip
â,â
hayir,No
nokta,point
değilsiniz,you are not
adamların,your men
tıbbi,medical
dışına,outside
başta,first
tıp,medicine
olmazsa,if not
serseri,rascal
İngilizce,English
gücünü,your strength
İkisi,The two
his,feeling
anlamıyorsun,you don't understand
tanıştığımıza,when we met
kararı,decision
mr.,mr.
km,km
geniş,wide
boşver,Nevermind
döndüm,I'm back
hmm,hmm
ismini,your name
uyku,sleep
evlenmek,to marry
çeviren,translator
tuzak,trap
kanı,blood
kızıl,red
evim,my home
geldiler,they came
odaya,to the room
afrika,Africa
gelmeden,before coming
prens,prince
zamanım,my time
görmüştüm,i have seen
tarafında,on the side
bölümü,department
yardımcısı,assistant
haberim,my news
anlattı,told
sarı,yellow
sahne,scene
dost,friend
çöp,rubbish
temel,basis
kızları,daughters
kullanarak,using
yara,wound
hele,especially
sanıyor,thinks
yanı,well
okulu,school
gelsin,come on
seviyorsun,you love
federal,federal
kapıdan,through the door
mil,shaft
amına,ass
geceleri,at night
kalbi,heartland
duydunuz,you heard
aldığını,what you took
gördüğüme,to what i see
abby,Abby
almayı,to take
gitmeden,without leaving
üzücü,sad
ettiniz,you did
kilometre,kilometer
geldiği,came from
kuralları,rules
andan,from the moment
gör,see
alışveriş,shopping
hakkımda,about me
hemşire,nurse
yumurta,egg
bahsediyorum,I'm talking about
geceyi,the night
rose,Rose
birbirine,each other
kendilerini,themselves
arası,inter-
adi,ordinary
louis,Louis
phil,Phil
yapmaz,doesn't do
bırakma,release
bozuk,broken
li,li
ediyorsunuz,you are doing
hakim,judge
bardak,glass
babama,to my father
no,no
doğrudan,directly
geçici,temporary
meksika,Mexican
alanı,area
karmaşık,complicated
koyayım,let me put
verdiğim,I gave
olduk,we became
yaşındaki,year old
İçeride,Inside
yerlere,to places
görelim,let's see
bıktım,I am fed up
çıkıyorum,I'm going out
görünen,visible
derdin,you would say
olamazsın,you can't be
derim,I say
karşısında,against
kafanı,your head
susan,susan
sadık,loyal
üstesinden,overcome
söylemeliyim,I must say
katı,thick
unutmayın,don't forget
gibidir,is like
toplantı,meeting
göze,to the eye
arkadaşlarım,my friends
gözleri,eyes
kaybetti,lost
hükümet,government
dinlemek,to listen
jackson,jackson
geçerli,valid
dönün,return
alacağız,we will take
sevdiğin,you love
nden,from
basın,press
hırsız,thief
haftada,per week
bakarım,I'll see
birisini,someone
çalışırken,while working
anı,moment 
diğeri,the other one
yaş,age
atış,shot
hafif,light
kutu,box
etsin,let it be
sipariş,order
çıktım,I went out
gelene,until you come
anlatmak,to explain
programı,program
jenny,Jenny
sizde,you too
bas,head
öldürdüm,I killed
kişiler,persons
yetişkin,adult
kendimizi,ourselves
olmazdı,wouldn't happen
ekmek,bread
takdir,discretion
olduğunun,that it is
sanıyorum,I think
sola,left
İlginç,Interesting
yardımına,to your aid
söylüyorlar,they say
roger,Roger
afedersin,excuse me
birliği,union
grace,grace
tanrıya,to god
vermiyor,does not give
içerisinde,in
ilgilendirmez,I don't care
korkuyor,afraid
bitmedi,it's not over
edemezsin,you can't
çekti,pulled
tip,medicine
tak,plug
tehlike,danger
dean,dean
içinden,through
hastalık,illness
görünmüyor,not visible
sizler,you
çıkalım,let's go out
hiçbirşey,nothing
bunlara,to these
etmedi,didn't
partiye,to the party
olmadığına,that there is no
sonrası,post-
dediği,what he said
farkına,realize
hassas,sensitive
dolarlık,dollar
verdiler,they gave
hissediyor,feels
oğlun,your son
bakacağım,I will look
ateşi,fever
çıkardın,you took it off
edebilirsin,you can
kaybettik,we lost
olmalıyız,we should be
göreceksin,you will see
buldunuz,you found
hayatında,in your life
göreceğiz,we will see
şehre,to the city
çekiyor,pulling
telefonunu,your phone
başım,my head
adımı,step
olduğunuz,you are
sürdü,lasted
yaptıklarını,what they did
